('oakpale',):1
('stirring',):4
('slightly',):18
('sea',):99
('what',):921
('algy',):2
('calls',):43
('great',):126
('sweet',):70
('mother',):137
('scrotumtightening',):1
('_epi',):2
('oinopa',):2
('ponton_',):2
('ah',):74
('greeks',):7
('read',):119
('them',):646
('original',):20
('_thalatta',):1
('thalatta',):1
('_',):2592
('she',):1129
('look',):188
('stood',):84
('leaning',):11
('water',):121
('mailboat',):4
('clearing',):3
('harbourmouth',):1
('kingstown',):6
('mighty',):12
('turned',):130
('abruptly',):7
('grey',):67
('searching',):3
('why',):168
('won',):68
('let',):199
('anything',):87
('someone',):45
('killed',):18
('her',):1722
('gloomily',):2
('could',):297
('knelt',):11
('damn',):43
('when',):533
('dying',):33
('asked',):167
('hyperborean',):1
('much',):156
('think',):141
('begging',):5
('last',):175
('breath',):57
('kneel',):10
('pray',):34
('refused',):3
('something',):171
('sinister',):5
('....',):5
('lightly',):21
('farther',):18
('tolerant',):1
('curled',):6
('lovely',):75
('mummer',):5
('murmured',):10
('loveliest',):1
('evenly',):3
('seriously',):6
('elbow',):14
('rested',):8
('jagged',):1
('granite',):3
('palm',):16
('against',):127
('brow',):23
('fraying',):1
('shiny',):5
('coat',):29
('sleeve',):10
('across',):61
('threadbare',):1
('cuffedge',):1
('saw',):156
('hailed',):3
('wellfed',):1
('beside',):43
('skyline',):2
('dull',):24
('green',):93
('mass',):27
('liquid',):9
('china',):7
('had',):779
('deathbed',):4
('holding',):36
('sluggish',):2
('bile',):2
('torn',):11
('rotting',):1
('liver',):13
('fits',):6
('loud',):24
('groaning',):3
('vomiting',):1
('poor',):182
('dogsbody',):5
('kind',):103
('shirt',):28
('few',):75
('noserags',):1
('secondhand',):5
('breeks',):1
('they',):1008
('fit',):15
('well',):263
('enough',):70
('attacked',):1
('hollow',):13
('beneath',):22
('underlip',):2
('mockery',):8
('contentedly',):1
('secondleg',):1
('should',):84
('be',):861
('knows',):70
('poxy',):1
('bowsy',):1
('left',):157
('pair',):43
('stripe',):1
('ll',):209
('spiffing',):2
('dressed',):24
('wear',):26
('told',):140
('etiquette',):5
('kills',):7
('trousers',):47
('folded',):24
('stroking',):2
('palps',):1
('fingers',):61
('felt',):60
('smooth',):9
('skin',):46
('gaze',):33
('smokeblue',):1
('mobile',):2
('fellow',):137
('ship',):20
('says',):421
('g',):20
('p',):64
('dottyville',):1
('connolly',):2
('norman',):5
('general',):48
('paralysis',):2
('insane',):2
('swept',):7
('half',):117
('circle',):19
('flash',):11
('tidings',):4
('abroad',):6
('sunlight',):14
('now',):416
('radiant',):6
('curling',):6
('laughed',):35
('edges',):3
('glittering',):3
('yourself',):38
('forward',):72
('cleft',):4
('crooked',):15
('crack',):11
('end',):76
('others',):60
('see',):408
('who',):505
('chose',):6
('rid',):7
('vermin',):3
('asks',):5
('pinched',):2
('skivvy',):1
('room',):49
('does',):101
('always',):168
('keeps',):12
('plainlooking',):1
('servants',):7
('lead',):12
('temptation',):1
('ursula',):2
('brought',):81
('peering',):9
('rage',):4
('caliban',):3
('seeing',):28
('wilde',):9
('only',):247
('alive',):18
('drawing',):16
('pointing',):19
('bitterness',):5
('symbol',):8
('cracked',):10
('lookingglass',):4
('servant',):12
('suddenly',):37
('linked',):11
('arm',):53
('walked',):77
('round',):232
('clacking',):3
('thrust',):12
('tease',):2
('kindly',):10
('more',):308
('spirit',):24
('than',):167
('any',):226
('parried',):1
('fears',):4
('lancet',):1
('cold',):61
('steel',):18
('pen',):16
('oxy',):1
('downstairs',):5
('touch',):43
('guinea',):13
('stinking',):3
('money',):106
('tin',):12
('selling',):9
('jalap',):1
('zulus',):1
('some',):308
('swindle',):6
('work',):104
('together',):57
('might',):172
('island',):21
('hellenise',):1
('cranly',):7
('having',):112
('beg',):13
('swine',):4
('don',):192
('trust',):9
('nose',):63
('makes',):45
('noise',):20
('bring',):44
('seymour',):9
('ragging',):2
('worse',):30
('clive',):2
('kempthorpe',):2
('young',):183
('shouts',):13
('moneyed',):2
('voices',):27
('rooms',):12
('palefaces',):1
('their',):684
('ribs',):8
('laughter',):32
('clasping',):3
('another',):120
('shall',):61
('expire',):2
('break',):17
('news',):15
('aubrey',):2
('slit',):4
('ribbons',):3
('whipping',):3
('hops',):2
('hobbles',):2
('table',):72
('heels',):23
('chased',):3
('ades',):1
('magdalen',):2
('tailor',):7
('shears',):5
('scared',):4
('calf',):9
('gilded',):5
('marmalade',):1
('want',):144
('debagged',):1
('play',):44
('giddy',):9
('ox',):5
('open',):105
('window',):65
('startling',):1
('evening',):56
('quadrangle',):1
('deaf',):9
('gardener',):4
('aproned',):3
('masked',):4
('matthew',):7
('arnold',):3
('pushes',):2
('mower',):1
('sombre',):3
('lawn',):11
('narrowly',):1
('dancing',):19
('motes',):1
('grasshalms',):2
('ourselves',):9
('...',):299
('paganism',):1
('omphalos',):1
('nothing',):95
('wrong',):38
('except',):25
('impatiently',):5
('cough',):9
('quite',):82
('frank',):8
('looking',):107
('blunt',):4
('cape',):7
('bray',):4
('snout',):6
('sleeping',):11
('whale',):3
('freed',):4
('wish',):33
('remember',):71
('spoke',):37
('wind',):60
('passed',):91
('fanning',):13
('softly',):30
('uncombed',):2
('silver',):39
('anxiety',):2
('depressed',):1
('own',):151
('first',):270
('day',):247
('house',):163
('after',):413
('death',):80
('quickly',):52
('ideas',):8
('sensations',):5
('happened',):18
('making',):45
('tea',):66
('landing',):7
('hot',):49
('visitor',):3
('drawingroom',):5
('did',):384
('say',):256
('_o',):6
('whose',):45
('beastly',):7
('dead',):119
('flush',):7
('seem',):12
('younger',):11
('engaging',):2
('rose',):65
('harm',):19
('shook',):21
('constraint',):1
('nervously',):5
('yours',):19
('die',):36
('pop',):10
('every',):137
('mater',):6
('richmond',):7
('cut',):47
('tripes',):3
('dissectingroom',):1
('thing',):194
('else',):38
('simply',):56
('doesn',):29
('matter',):60
('wouldn',):60
('cursed',):7
('strain',):9
('injected',):2
('way',):267
('cerebral',):2
('lobes',):2
('functioning',):2
('doctor',):25
('sir',):194
('peter',):24
('teazle',):1
('picks',):6
('buttercups',):1
('quilt',):3
('humour',):9
('till',):129
('yet',):79
('sulk',):1
('whinge',):1
('hired',):2
('mute',):13
('lalouette',):1
('suppose',):110
('didn',):73
('mean',):71
('offend',):3
('memory',):37
('spoken',):15
('boldness',):2
('shielding',):1
('gaping',):11
('wounds',):4
('words',):112
('heart',):119
('very',):221
('thinking',):45
('offence',):8
('swung',):6
('heel',):13
('impossible',):6
('person',):56
('exclaimed',):6
('post',):20
('headland',):4
('grew',):11
('dim',):5
('pulses',):2
('beating',):9
('veiling',):2
('fever',):8
('within',):43
('loudly',):30
('coming',):115
('chuck',):4
('loyola',):2
('sassenach',):2
('wants',):45
('rashers',):2
('level',):12
('roof',):4
('mope',):1
('inconsequent',):2
('moody',):3
('brooding',):3
('vanished',):6
('drone',):3
('descending',):4
('boomed',):4
('turn',):65
('brood',):9
('upon',):130
('bitter',):10
('mystery',):13
('fergus',):4
('rules',):10
('brazen',):5
('cars',):2
('woodshadows',):1
('floated',):7
('silently',):14
('peace',):22
('seaward',):2
('inshore',):1
('whitened',):2
('spurned',):7
('lightshod',):1
('hurrying',):4
('feet',):77
('breast',):27
('twining',):5
('stresses',):1
('plucking',):2
('harpstrings',):1
('merging',):1
('chords',):17
('wavewhite',):1
('wedded',):2
('shimmering',):4
('tide',):19
('cloud',):12
('cover',):12
('sun',):75
('slowly',):68
('wholly',):5
('shadowing',):2
('deeper',):2
('waters',):36
('song',):33
('sang',):32
('alone',):49
('door',):133
('wanted',):64
('hear',):125
('silent',):46
('awe',):4
('pity',):33
('bedside',):3
('crying',):10
('wretched',):5
('bed',):99
('secrets',):13
('featherfans',):1
('tasselled',):3
('dancecards',):1
('powdered',):5
('musk',):1
('gaud',):1
('amber',):3
('beads',):2
('locked',):10
('drawer',):11
('birdcage',):1
('hung',):17
('girl',):98
('heard',):118
('royce',):1
('sing',):38
('pantomime',):3
('turko',):3
('terrible',):23
('boy',):87
('enjoy',):12
('invisibility',):1
('phantasmal',):1
('mirth',):7
('muskperfumed',):1
('nature',):65
('toys',):3
('memories',):6
('beset',):1
('brain',):13
('glass',):39
('kitchen',):29
('tap',):13
('approached',):6
('sacrament',):6
('cored',):1
('apple',):10
('filled',):17
('brown',):54
('sugar',):15
('roasting',):2
('hob',):5
('autumn',):3
('dream',):18
('wasted',):1
('graveclothes',):1
('giving',):25
('odour',):13
('wax',):12
('rosewood',):2
('secret',):32
('faint',):10
('wetted',):4
('ashes',):12
('ghostcandle',):1
('agony',):7
('ghostly',):2
('tortured',):2
('hoarse',):10
('rattling',):10
('horror',):9
('while',):119
('prayed',):18
('knees',):23
('strike',):9
('_liliata',):2
('rutilantium',):5
('te',):11
('confessorum',):2
('turma',):3
('circumdet',):3
('iubilantium',):4
('virginum',):4
('chorus',):4
('excipiat',):2
('ghoul',):2
('live',):52
('ahoy',):1
('nearer',):18
('calling',):17
('trembling',):10
('cry',):43
('warm',):47
('running',):41
('good',):304
('mosey',):2
('breakfast',):20
('ready',):21
('apologising',):1
('waking',):5
('turning',):43
('jesus',):35
('sake',):22
('sakes',):1
('disappeared',):5
('reappeared',):3
('clever',):14
('paid',):30
('school',):36
('kip',):5
('four',):88
('shining',):18
('sovereigns',):5
('glorious',):13
('drunk',):24
('astonish',):1
('druidy',):1
('druids',):2
('omnipotent',):3
('flung',):18
('hands',):151
('tramped',):1
('stone',):38
('singing',):35
('tune',):7
('cockney',):2
('accent',):14
('merry',):18
('time',):360
('drinking',):23
('whisky',):9
('beer',):11
('wine',):34
('coronation',):5
('sunshine',):3
('merrying',):1
('nickel',):3
('shavingbowl',):2
('shone',):7
('forgotten',):24
('leave',):42
('friendship',):5
('feeling',):29
('coolness',):3
('smelling',):12
('clammy',):3
('slaver',):1
('stuck',):33
('so',):586
('carried',):21
('boat',):14
('incense',):10
('clongowes',):6
('same',):162
('server',):5
('gloomy',):7
('domed',):2
('livingroom',):1
('gowned',):2
('form',):69
('moved',):37
('fro',):20
('hearth',):6
('hiding',):9
('revealing',):4
('glow',):8
('choked',):7
('locker',):5
('tall',):26
('figure',):48
('hammock',):2
('been',):195
('sitting',):51
('doorway',):26
('pulled',):18
('inner',):16
('doors',):8
('key',):14
('janey',):1
('mack',):2
('howled',):3
('without',):140
('fire',):50
('lock',):13
('haled',):1
('upended',):1
('valise',):9
('wait',):95
('tossed',):11
('fry',):4
('dish',):10
('large',):50
('teapot',):12
('heavily',):10
('sighed',):13
('relief',):10
('melting',):6
('candle',):21
('remarked',):9
('hush',):6
('word',):110
('subject',):25
('wake',):14
('bread',):51
('butter',):27
('honey',):9
('grub',):2
('bless',):11
('lord',):143
('thy',):45
('gifts',):4
('jay',):3
('milk',):48
('fetched',):5
('loaf',):9
('pot',):13
('buttercooler',):1
('sudden',):18
('pet',):6
('sort',):38
('eight',):16
('drink',):58
('thirstily',):2
('lemon',):13
('paris',):28
('fads',):1
('sandycove',):7
('woman',):207
('blessings',):2
('jumping',):6
('chair',):22
('sit',):34
('pour',):11
('bag',):26
('fumbling',):1
